api_nro,tipo,institucion,localidad,provincia,domicilio,cp,telefono,email,lat,lon
36,CAF,Instituto Superior de Formación Docente Nº 84,Mar del Plata,Buenos Aires,Boulevard Marítimo Nº 2280 -3º piso,B7600ZAB,(0221) 4227984 / 4240812,is043084@abc.gov.ar,-38.00113956,-57.54756809
37,CAF,Instituto Superior de Formación Docente y Técnica Ciudad de Mercedes,Mercedes,Buenos Aires,Calle 15 y 114,B6600EMF,(0223) 4944223 / 4942021 / 4910874,"iscm@speedy.com.ar, inscripciones@iscm.com.ar",-34.6594356,-59.4276047
38,CAF,"Instituto Superior de Formación Docente ""SAFYD""",Merlo,Buenos Aires,Juan M. De Rosas Nº 1165,B1722MXI,(0336) 4426839 / 4426878,safyd@speedy.com.ar,-34.66961432,-58.72707684
39,CAF,Instituto Superior Privado de Merlo,Merlo,Buenos Aires,Dean Funes Nº 2225,B1722OMS,(0291) 4557843 / 4532127,ipm@ipmeducar.com.ar,-34.6792709,-58.7683153
40,CAF,Instituto Superior Grilli,Monte Grande,Buenos Aires,Vicente López Nº 246,B1842AUF,(0297) 485848 / 482627,superiorgrilli@yahoo.com.ar,-34.827179,-58.462012
41,CAF,Instituto de Educación Física Ijens Peter Johannes Lindhardï,Moreno,Buenos Aires,Victorica Nº 400,B1744BWQ,(0383) 4435446 / 4420601,institutolindhard@hotmail.com,-34.6439247,-58.7952929
42,CAF,Instituto Superior de Formación Docente y Técnica Nº 31,Necochea,Buenos Aires,Av. Jesuita Cardiel  Nº 2130,B7011ZAA,(03329) 439214,isfd31@gmail.com,-38.55787441,-58.73835615
43,CAF,Instituto Superior de Formación Docente Nº 47,Olavarría,Buenos Aires,Dorrego Nº 1921,B7400KYW,(02284) 422456,direccioniefo@coopenet.com.ar,-36.89448886,-60.31753919
44,IM,CGL Bs As - Gestión Compartida,La Plata,Buenos Aires,Calle 55 Nº 570,B1900BGX,(0221) 4229907,veroparmi@hotmail.com,-34.9171501822,-57.9445552826
45,IM,CGL Lomas de Zamora,Lomas de Zamora,Buenos Aires,Alem 207 4º,B1832BOE,(011) 5291-5220 / 21,fconfeggi@consorciolomas.org.ar,-34.758356,-58.399116
46,IM,Alternativa Tres,Los Polvorines,Buenos Aires,25 de Mayo 985 1º ,B1613FNG,(011) 4660-4304,info@alternativa3.org,-34.514597,-58.712283
47,IM,Asociación Civil HORIZONTE,San Francisco Solano,Buenos Aires,Calle 850 Nº 2269,B1881CIG,(011) 4213-0323,asociacionhorizonte@infovia.com.ar,-34.7810226,-58.3046925
48,IM,CEDLQ,Quilmes,Buenos Aires,Alfonsina Storni 515,B1878JAA,(011) 15-5306-4845,cedlq@yahoo.com.ar,-34.7682419,-58.2477011
49,IM,Centro IDEB Moreno,Moreno,Buenos Aires,Leandro N Alem 2653,B1744ZAB,(0237) 4635528 / 4664167 / 4634122,bancosocial@moreno.gov.ar,-34.6544441,-58.7897932
50,IM,CESS,Quilmes,Buenos Aires,Santiago del Estero 1575 3ºB,B1876ZAA,(011) 4306-4364,cess@fibertel.com.ar,-34.7374538,-58.2767225
51,IM,Desarrollo Local Sustentable Junín,Junín,Buenos Aires,Ataliva Roca 19,B6000GUA,(0236) 4633463,deslosus@yahoo.com.ar,-34.58221,-60.949402
52,IM,Entre Todos,Don Torcuato,Buenos Aires,Colectora Panamericana Oeste 3079 e/ 202 y Triunvirato,B1611ZAB,(011) 4748-3017 / 21 / 22,entretodos@entretodosarg.org,-34.485579,-58.615044
53,IM,GESOL,Hurlingham,Buenos Aires,Pedro de Mendoza 1713,B1686NGA,(011) 4932-4243 / 4665-1605  / 4665-9445,gesol2@ciudad.com.ar,-34.5824636,-58.634942
54,IM,Los Mimbreros,Tigre,Buenos Aires,Sarmiento y Buenos Aires S/N - Local 112 Puerto de Frutos - Dársena 2,B1648ZAB,(011) 4731-1708,info@losmimbreros.com.ar,-34.41834,-58.57279
55,IM,Progresar,Belén de Escobar,Buenos Aires,Dupuy 1155,B1625XAF,(0348) 4457817,jose.morteo@fundacionprogresar.org,-34.3402525,-58.7849434
56,IM,San Isidro de Todos,San Isidro,Buenos Aires,Martín y Omar 129 - 3º Piso Of. 318,B1642DHC,(011) 4793-2961,sidetodos@datafull.com,-34.47185,-58.512812
57,IM,Asoc. Civil Nuestras Huellas Red Tekufen,Don Torcuato,Buenos Aires,Alvear 1224,B1611BXJ,(011) 4741-1405,comunicaciones@nuestrashuellas.org.ar,-34.495869,-58.634504
58,IM,Asoc. Civil por el Trabajo y Cultura de la Producción Argentina,Florencio Varela,Buenos Aires,,B1888ZAC,,sandra.cruz@yahoo.com.ar,-34.796581,-58.276012
59,IM,Cámara de Microempresas del Partido de Hurlingham,Hurlingham,Buenos Aires,Frías 3492,B1686ZAB,(011) 4665-9445 / 1605,camihur1@hotmail.com,-34.6109266,-58.6452869
60,IM,Cooperativa de Consumo y Vivienda Quilmes Limitada,Ezpeleta,Buenos Aires,Buenos Aires y Rió Desaguadero 4582,B1882CUL,(011) 4278-9388,coopquilmes@gmail.com,-34.7407166,-58.2217112
61,IM,Horizonte  Red Conurbano Sur,Florencio Varela,Buenos Aires,Calle 850 Nº 2269,B1888ZAC,(011) 4213-0323,asociacionhorizonte@infovia.com.ar,-34.796556,-58.273673
62,IM,Manos Unidas La Plata,La Plata,Buenos Aires,Calle 5 Nº 777,B1900DDG,(0221) 483-3591,manosunidaslaplata@speedy.com.ar,-34.911557,-57.949586
63,IM,Red de Gestión Asociada FactaFecotra,Florencio Varela,Buenos Aires,,B1888ZAC,,info@fecotra.org.ar,-34.795992,-58.271699
64,IM,Servicio a la Cultura Popular,Monte Grande,Buenos Aires,Pellegrini 589,B1842BCK,(011) 4281-3404,sercupo@gmail.com,-34.8237176,-58.4714519
65,IM,VIPECAS  OA Asoc. para el Des  Ambiental Sustentable,La Plata,Buenos Aires,Calle 67 Nº 1129,B1904AXS,(0221) 4577732,adaslp@hotmail.com,-34.9367381,-57.9443829
66,IM,Asoc. Civil Solidarias Amas de Casa área Metropolitana,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Solís 760 1 PB,C1078AAP,,albettili85@hotmail.com,-34.617538,-58.390317
67,CAF,Universidad de Flores - Facultad de Actividad Física y Deporte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Av. Nazca Nº 274,C1406AJT,(011) 4610-9050,jgomezuflo@gmail.com,-34.6286005,-58.4705897
68,CAF,Fundacion YMCA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Reconquista Nº 439,C1003ABI,,Lna-programa@ymca.org.ar,-34.6027171,-58.3724697
69,CAF,Instituto Dr. Dalmacio Velez Sarsfield,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Av. Juan B. Justo Nº 9200,C1408AKU,(011) 4644-4598,secreterciario@institutovelez.edu.ar,-34.6330792,-58.5159445
70,CAF,Instituto Dr. José Ingenieros,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Libertador Nº 7395,C1429BMG,(011) 4701-5963 /  4701-5968,jingenieros@clubosn.com.ar,-34.5454232,-58.4588703
71,CAF,"Instituto Superior ""Prof. Gladys R. Vera""",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Pichincha Nº 467,C1082ACI,(011) 4308-6046,seduca@udam.org.ar,-34.6148863,-58.3992671
72,CAF,Instituto Superior Argentina 2000,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Vidal 1861/38,C1428CSA,(011) 4788-2535 /  4781-5686,isa2000@nea2000.com,-34.5664277,-58.4584308
73,CAF,Instituto Superior de Ciencias de la Salud,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gavilán Nº 75,C1406BAA,(011) 4632-4845 /  4631-5864,rector@cienciasdelasalud.edu.ar,-34.61329173,-58.38875174
74,CAF,Instituto Superior de Deportes,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Crisólogo Larralde Nº 1050,C1429BSN,(011) 4702-2028,rectoria@isde.edu.ar,-34.61329173,-58.38875174
75,CAF,"Instituto Superior de Educación Física ""Hugo Quinn""",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Comodoro Rivadavia Nº 1350,C1429DBP,(011) 4702-3766 / 3766,info@isefi.com.ar,-34.5397865,-58.4613959
76,CAF,"Instituto Superior de Educación Física Nº 1 ""Dr. Enrique Romero Brest""",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Crisólogo Larralde Nº 1050,C1429BSN,(011) 4702-9667 /  4703 3819,rectoria@romerobrest.edu.ar,-34.5426566,-58.4556713
77,CAF,"Instituto Superior de Educación Física Nº 2 ""Federico William Dickens""",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Curapaligüe Nº 1150,C1406DAY,(011) 4921-4644 / 0067,iefdickens@yahoo.com.ar,-34.61329173,-58.38875174
78,CAF,Universidad Abierta Interamericana,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,San Juan 984,C1147AAU,(011) 4342-7788 /  4300-2147,horacio.brozzi@vaneduc.edu.ar,-34.6221487,-58.3797681
79,CAF,Universidad Maimónides,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Hidalgo Nº 775,C1405BCK,(011) 4905-1100 / 1103,"educacionfisica@maimonides.edu, greco.jose@maimonides.edu",-34.6105363,-58.4410333
80,CAF,Instituto Superior General San Martín - Profesorado de Educación Física,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Av. Figueroa Alcorta 5575,C1426CBF,(011) 4781-3812 / 4780 / 3393,profesoradosanmartin@yahoo.com.ar,-34.5603981,-58.4259071
81,CAF,Universidad del Salvador,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Tucumán 1845,C1050AAK,(011) 4813-0806 /  4811-8519 (interno 2742),uds-depo@salvador.edu.ar,-34.6020083,-58.3932827
82,CAF,Universidad Nacional de San Martín,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Dragones Nº2201,C1428AZI  ,(011) 4576-0455,grepresas@unsam.edu.ar,-34.5517513,-58.4419126
83,CAF,Instituto de Recreación y Tiempo Libre,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Av. Santa Fe Nº 2778,C1425BGP,(011) 4823-5308 /  4824-4403  /  4821-5221,rectoria@istlyrecreacion.edu.ar,-34.61329173,-58.38875174
84,CAF,Instituto Superior de Educación Física - Catamarca,San Fernando del Valle de Catamarca,Catamarca,Av. Ramón Luna s/n,K4700ZAC,(0383) 4455320,isef2008@live.com.ar,-28.48716471,-65.78679334
85,IM,CGL Chaco Región Metropolitana,Resistencia,Chaco,Güemes 165,H3500CBC,(0362) 4449606,consorciomicrocredito@argentina.com.ar,-27.4506978,-58.9841391
86,IM,Asociación Mutuales Chaqueñas. AMUCHAFE,Resistencia,Chaco,Dionisio Suero 2045,H3506KWC,(0362) 4465235,amuchafe84@hotmail.com,-27.45365,-59.02514
87,IM,Asoc. Correntina de DESARROLLO COMUNITARIO ACODECO,Santa Lucía,Corrientes,Av. Italia  406,W3440ABR,(03777) 80634,raulviola7@yahoo.com.ar / acodecobanquito@yahoo.com.ar,-28.985561,-59.101391
88,IM,Asociación Civil MUJERES SOLIDARIAS EN LUCHA MUSEL,Corrientes,Corrientes,Entre Ríos  1873 00,W3400ZAC,(0379) 4424701,muselbpbf@hotmail.com,-27.474527,-58.84494
89,IM,Cáritas Diocesana Santo Tomé,Santo Tomé,Corrientes,Patagonia 433,W3340CKI,(03756) 421962,caritassantotome@hotmail.com,-28.5516205,-56.0456352
90,IM,ÑANDE PO,Corrientes,Corrientes,Hipólito Yrigoyen 880,W3400ASR,(0379) 4465234,artesanos_independientes@hotmail.com,-27.4682114,-58.8409102
91,IM,Mutual RIÓ AGUAPEY,Corrientes,Corrientes,San Martín  660,W3400APN,(03772) 470373 / 471359,mutualrioaguapey@yahoo.com.ar,-27.4693636276,-58.843588829
92,IM,Asociación DESARROLLO FAMILIAR,Empedrado,Corrientes,Bartolomé Mitre  750,W3418ZAA,(0379) 4491443,adefaempedrado@hotmail.com,-27.9517136,-58.8040848
93,IM,Red de Gestión Asociada  Red Integración y Desarrollo,Corrientes,Corrientes,Elias Abad 2216,W3410GON,(0379) 4465077,cideco_sol@argentina.com / c_i_de_co@hotmail.com,-27.472257439,-58.8390827179
94,IM,Red de Organizaciones Comunitarias y Sociales de Corrientes Red,Corrientes,Corrientes,Perú  895 1º,W3400CQA,(0379) 4422440,redmercosurintercambios@yahoo.com.ar,-27.4689373,-58.8216035
95,IM,Asoc. Civil Saya Taekwondo,Clorinda,Formosa,Las Piedras y Urquiza S/N,P3610ZAB,(03718) 428178,asocsaya@hyahoo.com.ar,-25.3018206903,-57.7221679688
96,IM,Asociación Civil 23 de Abril.,Formosa,Formosa,Ayacucho 4445,P3600CJK,(0370) 154417212,gilbertoquionez@yahoo.com.ar,-26.203699,-58.2095
97,IM,Asociación Civil CENTRO DE MUJERES CLORINDENSES,Clorinda,Formosa,Belgrano 671,P3610ALD,(03718) 426615 / 423329,lizzironco@yahoo.com.ar,-25.2881832,-57.7228203
98,IM,Asociación Civil Renacer San Martín II,San Martín II,Formosa,Juan Carlos Sánchez S/N,3621,,anamariaroj@hotmail.com,-26.1825535133,-58.179473877
99,IM,Asociación Fe y Esperanza Herradureña,Herradura,Formosa,Calle Dora Conte S/N,P3601ZAA,,asc.feyesperanza@yahoo.com.ar,-26.4869232,-58.3108749
100,IM,Federación Organizaciones Comunitarias Formosa,Formosa,Formosa,Paraguay 975,P3600LBS,,jcduca@arnet.com.ar / focformosa@yahoo.com.ar,-26.192821,-58.1725533
101,IM,Parroquia Nuestra Señora de la Merced,Las Lomitas,Formosa,Moreno 244,P3630BIF,(03715) 432950,josevicente.rodriguez@yahoo.com.ar / bcplomitas@gmail.com,-24.7045002,-60.6005783
102,IM,CGL Formosa Ministerio de la Comunidad,Formosa,Formosa,Padre Grotti 1040,P3600ZAA,(0370) 4436132,cgldesarrollosocial@gmail.com,-26.190452,-58.1814
103,IM,CGL Formosa Paippa,Formosa,Formosa,Padre Grotti 1040,P3600ZAA,(0370) 4436132,jajchura@formosa.gov.ar,-26.190949,-58.181276
104,IM,CGL Formosa Secretaria de la Mujer,Formosa,Formosa,España 73,P3600FFA,(0370) 4473135 / 4443637,secretariadelamujer@formosa.gov.ar,-26.1811448,-58.1657259
105,IM,CGL Formosa. Ministerio de la Producción,Formosa,Formosa,Belgrano 878 6,P3600COT,(0370) 4436458,sruizdiaz@formosa.gov.ar,-26.1831696,-58.1649355
106,IM,Asoc. Civil Prom. Humana y Des. Agroecológico Local - APHyDAL,San Pedro,Misiones,San Juan S/N,N3352COA,,raquelesthertorres@yahoo.com,-26.6425489002,-54.140625
107,IM,Asoc.Civil Hogar Belén,Garupá,Misiones,Ruta 12  Km. 12 S/N,3304,(0376) 4300785 / 154649771,rlpasarin@yahoo.com.ar,-27.483834,-55.829863
108,CAF,Universidad Nacional Catamarca - Facultad de Ciencias de la Salud - Licenciatura en Educación Física,San Fernando del Valle de Catamarca,Catamarca,Maestro Quiroga s/n 1ra. Cuadra,K4700ZAC,(0383) 4427839,jooolivera@yahoo.com.ar,-28.48716471,-65.78679334
109,CAF,Instituto de Nivel Terciario Miguel Neme,Las Brenas,Chaco,Sarmiento y Estrada,H3724ZAA,(03731) 460743,,-27.09105163,-61.08367903
110,CAF,Instituto de Nivel Terciario de Educación Física,Resistencia,Chaco,Av. Lavalle Nº 700,H3500AQT,(0362) 4444336,intef_rcia@live.com.ar,-27.45464921,-58.98763676
111,CAF,"Instituto Superior de Formación Docente Nº 810 ""Prof. Fidel A. Pérez Moreno""",Comodoro Rivadavia,Chubut,Av. Langara y G. Cox Barrio Gral. Mosconi,U9000ZAC,(0297) 4550729 / 4550430,isfd810@educ.ar,-45.87799233,-67.51467575
112,CAF,"Instituto Superior Nº 809 ""Republica de Costa Rica""",Esquel,Chubut,Sarmiento 940,U9200EYP,(02945) 451671,info@isfd809esquel.com.ar,-42.9111458,-71.3229947
113,CAF,Instituto de Estudios Superiores,Trelew,Chubut,Urquiza 356,U9100GMD,(0280) 429049 / 427430,rector@idestrelew.edu.ar,-43.2507915,-65.3022307
114,CAF,"Instituto Superior ""Juan Mantovani""",Córdoba,Córdoba,Aconquija Nº 2302 Barrio Parque,X5011AMN,(0351) 4669470 / 4669771,mantovaniprofesorado@gmail.com,-31.41625969,-64.18331722
115,CAF,Instituto Provincial de Educación Física de Córdoba,Córdoba,Córdoba,Av. Cárcano s/n Barrio Chateau Carreras,X5000ZAA,(0351) 4348394 / 95 / 96 / 97,direccion@ipef.edu.ar,-31.41625969,-64.18331722
116,CAF,Instituto Superior en Actividades Deportivas,Córdoba,Córdoba,Cruz Roja 200. Ciud. Univerisitaria,X5000HGD,(0351) 4619000 / 426600,info@qualityisad.com,-31.41625969,-64.18331722
117,CAF,Universidad Blas Pascal,Córdoba,Córdoba,Av. Donato Alvarez Nº 380 Argüello Córdoba,X5000ZAA,(0351) 4144444,informes@ubp.edu.ar,-31.41625969,-64.18331722
118,CAF,"Instituto Superior de Artes y Ciencias del Movimiento Humano ""San Miguel""",Córdoba,Córdoba,Vieytes Nº 400 Barrio Alto Alberdi,X5002JGH,(0351) 4881320 / 4800080,ism.profesorado@gmail.com,-31.41625969,-64.18331722
119,CAF,"Escuela Normal Superior ""Juan Bautista Alberdi""",Dean Funes,Córdoba,España 170,X5200AAD,(03521) 426220,,-30.42540531,-64.35164638
120,CAF,"Instituto Superior del Profesorado ""Prof. Jorge A. Cavanna""",Huerta Grande,Córdoba,Huerta Grande,5174,(03548) 434952,lucreciacavanna@yahoo.com.ar,-31.05419766,-64.49822779
121,CAF,Universidad Nacional de Río Cuarto - Facultad de Ciencias Humanas - Profesorado de Educación Física,Río Cuarto,Córdoba,Ruta 36 - Km. 601,X5806ZAB,(0358) 4676479,"claudiaruza@hotmail.com, dptoedufisica@hum.unrc.edu.ar",-33.12666575,-64.34871448
122,CAF,"Instituto Privado Diocesano ""Dr. Alexis Carrel""",Río Tercero,Córdoba,Gral.Paz y España,X5850ZAA,(03571) 411034,alexis.secretaria3@hotmail.com,-32.17552488,-64.11303762
123,CAF,Instituto Superior F.A.S.T.A. Inmaculada Concepción,San Francisco,Córdoba,Bv. Sáenz Peña Nº 115,X2400ZAA,(03564) 424556 / 428774,fastasf@arnet.com.ar,-31.4300521,-62.08664839
124,CAF,"Instituto del Rosario ""Profesorado Gabriela Mistral""",Villa María,Córdoba,Alvear Nº 68,X5900ZAA,(0353) 4533708 / 4528890,institutodelrosario@arnet.com.ar,-32.41450456,-63.24998996
126,IM,CITECAP,La Rioja,La Rioja,Av. Ramírez de Velazco 1380,F5300ZAA,(0380) 4423586,lucioanibal@hotmail.com,-29.3960922,-66.8515507
127,IM,FUTURO EN PROGRESO,La Rioja,La Rioja,Iribarren S/N,F5300ZAA,(0380) 44676600,albertogranillo@gmail.com,-29.4023363,-66.8302704
128,IM,Obispado de La Rioja,Chepes,La Rioja,Av. 9 de Julio 225,F5470ZAA,,Rafaela_016@hotmail.com,-31.3363895,-66.5918427
129,IM,CGL La Rioja,La Rioja,La Rioja,Milán  765,F5300CTC,(0380) 154442283,albertosgranillo@yahoo.com.ar,-29.4233069,-66.8496877
130,IM,Red de Gestión Asociada Asoc. Civil Poleas,La Rioja,La Rioja,San Isidro 572,F5300ZAA,(0380) 4427828,ongpoleas@hotmail.com,-29.4058528,-66.8570603
131,IM,Asociación Civil Construyendo proyectos barriales CONPROBAR,San Carlos de Bariloche,Río Negro,Mitre 125 1129,R8402BPC,,conprobar@yahoo.com.ar,-41.1337244866,-71.3083720207
132,IM,Fundación PUEBLO JOVEN,Villa San Lorenzo,Salta,Calixto Gauna  735,A4401XBA,(0387) 4922134,fundacionpueblojoven@gmail.com,-24.7166667,-65.4833333
133,IM,FUNDAR - Fundación Rivadavia para promoción del desarrollo,Coronel Juan Sola,Salta,Belgrano S/N,4554,,federicoabila@hotmail.com,-23.4697838,-62.8862419
134,IM,Programas Sociales Comunitarios,Salta,Salta,Pasaje Benjamín Zorrilla 225,A4400AVE,(0387) 4314074,prosocoregionalbpbf@hotmail.com,-24.787903389,-65.4053878784
135,IM,Sagrado Corazón de Jesús,Salta,Salta,Manzana 21 Lote 10 Grupo 648 - Barrio Castañares,A4400ZAA,(0387) 4257195,centrodemsagrado@hotmail.com,-24.7820590439,-65.4117393494
