provincia,denominacion,localidad,direccion,horario_atencion,telefono
Buenos Aires ,Junta Evaluadora Tres Arroyos,Tres Arroyos,"Centro Municipal de Salud de Tres Arroyos
Primera Junta 400",Martes y Jueves 10:30 a 12:30,"tel:02983-439404/
430470"
Buenos Aires ,Junta Evaluadora Adolfo Gonzalez Chaves,Adolfo Gonzalez Chaves,Hospital Anita Elicagaray - Torchiari 200,Jueves 9 a 12 Hs.,Tel: 02983-484449
Buenos Aires ,Junta Evaluadora Coronel Dorrego,Coronel Dorrego,Hosp Municipal - El Indio 350,jueves 8 a 10 hs,"Tel: 02921- 452462 /
452312"
Buenos Aires ,Junta Evaluadora Cnel Rosales,Cnel Rosales,Avellaneda 690 (Esq. Luiggi) Punta Alta,"junta evaluadora: martes y mier a partir de 8:30 hs,
turnos: viernes de 7 a 8 hs, 
consulta y asesoramiento: lunes y jue de 8 a 11 hs",Tel: 02932-421237
Buenos Aires ,Junta Evaluadora Bahía Blanca 2da Instancia,Bahía Blanca 2da Instancia,Moreno 267 (Reg San I),Lunes de 9 a 13 hs,0291-4512268
Buenos Aires ,Junta Evaluadora Carmen de Patagones,Carmen de Patagones,Centro Integral del Discapacitado - Dr. Baraja 700,"junta evaluadora: lunes de 9 a 11 hs
turnos: lun, mierc y vier de 8 a 12 hs y de 14 a 20 hs, 
martes y jueves : de 14 a 20 hs",02920 461111
Buenos Aires ,Junta Evaluadora 9 de Julio,9 de Julio,Centro de Salud Diamantina - Tucumàn 2546,Miércoles de 14 a 18 hs,tel 02317-422348
Buenos Aires ,Junta Evaluadora Pellegrini,Pellegrini,Hospital Municipal (Ugarte 317),1 dia al mes de 8 a 13 hs,"Tel. Hosp. 02392-498120/660. 
Alvarez M. Eugenia 02392-498704"
Buenos Aires ,Junta Evaluadora América (Rivadavia),América (Rivadavia),CIC Lavalle y Eva Perón,"4to Viernes de 8 a 18 hs
Turnos de lunes a viernes de 11 a 13 hs",02337 40478990/89
Buenos Aires ,Junta Evaluadora Gral Villegas,Gral Villegas,Hospital Municipal - Isturiz S/N,Miercoles  y Viernes 13 a 15 hs,"Telefonos: 03388 423629
/423630/423631"
Buenos Aires ,Junta Evaluadora Daireaux,Daireaux,Mitre 345,1° jueves de cada mes de 8 a 17 hs.,02316-452133 int 138
Buenos Aires ,Junta Evaluadora Tres Lomas,Tres Lomas,"Sede de Servicio Social - Alberdi 555, Tres Lomas",,Tel. 02394-430244
Buenos Aires ,Junta Evaluadora Salliqueló,Salliqueló,Hosp Municipal de Salliqueló - Av 9 de julio 459,1 sabado de c / mes desde las 8:30 hs.,Tel. 02394-480001
Buenos Aires ,Junta Evaluadora Henderson (Hipólito Yrigoyen),Henderson (Hipólito Yrigoyen),Hosp Municipal Galvani-urquiza nº 502,2º miércoles de c / mes 15 hrs,tel:0214-452058/078 int. 52
Buenos Aires ,Junta Evaluadora Carlos Tejedor,Carlos Tejedor,Hosp Municipal Esteban y Santiago Garré,1º o 2º Lunes de cada mes de 08 a 16 hs,Tel. 02357 420103
Buenos Aires ,Junta Evaluadora Carlos Casares,Carlos Casares,"Centro Materno Infantil -
 Lamadrid 185 - Carlos Casares","1º miercoles de cada mes - De  14 a 19 hrs
En verano 13 a 20 hs.","TEL: 02395 451217 -
 adm 402395452018"
Buenos Aires ,Junta Evaluadora Trenque Lauquen,Trenque Lauquen,"Centro de Rehabilitacion Municipal
 ""Dr. Jorge A. Barracchia"" -  San Martin y Paso",Miercoles 13 a 17 hs,tel: 02392-419395/6 int. 20
Buenos Aires ,Junta Evaluadora Pehuajó,Pehuajó,Hospital Municipal Dr. Aramburu - Dean Funes 56,Jueves 12 a 16 hs.,02396-473230
Buenos Aires ,Junta Evaluadora Junín (Municipalidad),Junín (Municipalidad),Unidad Sanitaria XII - Dorrego 873,Lunes y Jueves de 14 a 17 hs,Tel. 236-4420785
Buenos Aires ,Junta Evaluadora Gral Viamonte,Gral Viamonte,"Hospital Municipal Eugenio Bargas
Calle Passo de la Cdad de Los Toldos 
(Gral Viamonte)",1er Jueves de cada mes de 14 a 20 hs.,Tel. 02358-442458
Buenos Aires ,Junta Evaluadora Leandro Alem,Leandro Alem,Hosp Municipal - Mendoza e/ Belgrano y La Rioja - Vedia,,Tel: 02354-422600/420645
Buenos Aires ,Junta Evaluadora Gral Pinto,Gral Pinto,Ex estacion del Ferrocarril  Mitre y Rivadavia,2º Martes del mes por la mañana,Tel. 02356-420467/75
Buenos Aires ,Junta Evaluadora Ameghino,Ameghino,Av San Martín 281,Todos los dias por la mañana,tel: 03388 - 471949 Roxana
Buenos Aires ,Junta Evaluadora Chacabuco,Chacabuco,Hospital Municipal - Av Garay y Salta,Miercoles de 8 a 13,Tel: 02352-430799/824/828
Buenos Aires ,Junta Evaluadora General Arenales,General Arenales,Sarmiento 276,Miercoles de 11 a 16 hs,Tel: 02353-460055 / 460442 / 460515
Buenos Aires ,Junta Evaluadora Lincoln,Lincoln,Juntas - CIC Plaza España - Av Maipú y Menarvino,Miercoles de 17 a 21 hs,02355-424977 / Tel. 02355-424977
Buenos Aires ,Junta Evaluadora Hospital Piñeyro (Junín) - 2da instancia,Hospital Piñeyro (Junín) - 2da instancia,"HIGA Adrián Piñeyro, Junín.",Martes y Miércoles de 15 hs a 19 hs,Tel: 02362-433108
Buenos Aires ,Junta Evaluadora San Antonio de Areco,San Antonio de Areco,Hospital Emilio Zerboni  - Moreno 90,1º y 3º viernes de cada mes de 8 a 10,02326-455567/452759
Buenos Aires ,Junta Evaluadora Colón,Colón,Hospital Municipal - 50 entre 12 y 13,Lunes y jueves desde las 12 hs.,02473-430416/18/20 int. 241
Buenos Aires ,Junta Evaluadora Capitan Sarmiento,Capitan Sarmiento,Htal. Municipal San Carlos (Avda San Martin 450),"Junta: Viernes cada 15 dias de 8 a 12 hs.
Turnos: Lunes a Viernes por la mañana",02478 483191/481311
Buenos Aires ,Junta Evaluadora Pergamino - 1,Pergamino - 1,"Centro de atencion primaria Salvador Mazza -
 Vte. Lopez y Balboa",Lunes a Viernes de 8 a 12 hs.,Tel. 02477-414277
Buenos Aires ,Junta Evaluadora Pergamino - 2da instancia,Pergamino - 2da instancia,Hospital San Jose - Liniers 950 e Italia,,02477-429795 al 429799
Buenos Aires ,Junta Evaluadora Ramallo,Ramallo,Hosp José María Gomendio - Calle Gomendio 1374,Miercoles a las 8 hs.,03407-421555/666
Buenos Aires ,Junta Evaluadora San Andrés de Giles,San Andrés de Giles,Hospital San Andres - Av. Presidente Campora 1399,Lunes 13 a 16 hs   y    Martes 7 a 9 hs,02325-442125
Buenos Aires ,Junta Evaluadora San Pedro,San Pedro,Municipalidad de San Pedro - Olivera Cesar 280,martes de 8 a 13 Hs,03329-420430
Buenos Aires ,Junta Evaluadora Carmen de Areco,Carmen de Areco,Direccion de salud - Belgrano 710,"Junta: Lunes cada 15 dias de 11 a 14 hs.
Turnos: Lunes a Viernes de 8 a 14 hs.",Tel. 02273-440236
Buenos Aires ,Junta Evaluadora San Nicolas de los Arroyos - 1,San Nicolas de los Arroyos - 1,Pellegrini 111 - San Nicolas de Los Arroyos,Lunes a Jueves 14:00 a 19:00,0336-44508830
Buenos Aires ,"Junta Evaluadora San Nicolas de los Arroyos
 (2° instancia p/ pacientes del Hosp)","San Nicolas de los Arroyos
 (2° instancia p/ pacientes del Hosp)",Hospital San Felipe - Moreno 34- San Nicolás,"lunes, miercoles y viernes de 8 a 12 Hs.",0336-4422880
Buenos Aires ,Junta Evaluadora Rojas,Rojas,Hospital Municipal de Rojas - Av. 25 de mayo 717,"Junta: Martes cada 15 dias 8:30 a 15:30
Turnos: Lunes a Viernes 6 a 14 hs.",02475-465410/5316
Buenos Aires ,Junta Evaluadora Baradero,Baradero,Municipalidad de Baradero - San Martin 905,"martes 15hs a 18hs para dar turnos.
Miércoles 15 a 18 hrs","Tel. 03329-482900 int. 217
03329-15603907/15602465"
Buenos Aires ,Junta Evaluadora Salto,Salto,CIC - Viamonte y Del Valle,Dia Miercoles cada 15 días,Tel. 02474-423798
Buenos Aires ,Junta Evaluadora Arrecifes,Arrecifes,Ramon Lorenzo N° 35. (Centro de Salud),Martes y jueves a las 9 a 12 Hs.,02478-451327 / 451327
Buenos Aires ,Junta Evaluadora San Miguel,San Miguel,Paunero 1136,martes a viernes de 9 a 15 hs,tel: 4667-5882 / 4451-5825/5847
Buenos Aires ,Junta Evaluadora San Isidro - I,San Isidro - I,"Hosp. Central ""Dr. Melchor A. Posse"" - Santa Fe 431","Lunes y martes de 7,30 a 13,30 Hs.",Tel. 4512-3762
Buenos Aires ,Junta Evaluadora San Isidro - II,San Isidro - II,"Hospital Materno Infantil Carlos Gianantonio - 
Diego Palma 505, San Isidro",Viernes de 9 a 12 hs,Tel. 4512-3903/03
Buenos Aires ,Junta Evaluadora Pilar,Pilar,Ambrosetti y los Perales (Centro Pilares de Esperanza),lunes a jueves de 8 a 14hs,0230-4644211
Buenos Aires ,Junta Evaluadora San Fernando,San Fernando,Necochea 1398 esq. Lavalle,Turnos e informes ( jueves y viernes de 8 a 12 hs.),Tel. 4744-4791
Buenos Aires ,"Junta Evaluadora Hosp Manuel Belgrano 2da Instancia 
(Fue Junta de 1dra Instancia hasta diciembre el 09)","Hosp Manuel Belgrano 2da Instancia 
(Fue Junta de 1dra Instancia hasta diciembre el 09)","Hospital Manuel Belgrano -
 Av de los Constituyentes 3120, Villa zagala, San Martín",Lunes a jueves: orientación de 08 a 12 hs,Tel:4752-8450 / 47552228 int. 131
Buenos Aires ,Junta Evaluadora Tigre,Tigre,"Dirección de Discapacidad - Canadá Esq. Ruta 197, El Talar",lúnes a viernes de 8 a 14 hs,Tel. 4736-4928
Buenos Aires ,Junta Evaluadora Jose C Paz,Jose C Paz,Direccion Gral de Discapacidad - Hipolito Irigoyen 3551,Lunes a Viernes de 08 a 13 hs.,02320-431235
Buenos Aires ,Junta Evaluadora Vicente Lopez,Vicente Lopez,Hospital Houssay  - Hipolito Irigoyen 1757,,tel.4796-7200
Buenos Aires ,Junta Evaluadora Exaltación de la Cruz,Exaltación de la Cruz,Oficina Desarrollo Social - E. Urcelay esq irizar,Martes y Jueves a confirmar horario,tel: 02323-491379
Buenos Aires ,"Junta Evaluadora Centro Reha. Drozdowski. 
Malvinas Argentinas","Centro Reha. Drozdowski. 
Malvinas Argentinas",Cuba 2030. Malvinas Argentinas,L a V 8 hs. a 12:30 hs,Tel: 02320-629931/32
Buenos Aires ,Junta Evaluadora Gral San Martín (Municipio),Gral San Martín (Municipio),"Hospital Municipal Dr. Diego E. Thompson - 
Avellaneda 33. Gral San Martín","Lunes, Martes y Viernes 8 a 13 hs.
Miercoles y Jueves 13 a 17 hs.",Tel. 4512-6971
Buenos Aires ,Junta Evaluadora Escobar - Pediatrica,Escobar - Pediatrica,"Sarmiento 41 (ruta 25) Matheu, Escobar",Lunes 9 a 14 Hs.,0348-4434581
Buenos Aires ,Junta Evaluadora Escobar -Adultos,Escobar -Adultos,"Sarmiento 41 (ruta 25) Matheu, Escobar",Viernes de 8 a 17 Hs.,0348-4434536
Buenos Aires ,"Junta Evaluadora Instituto Municipal de Rehabilitacion
 Dr.  A. Marini. Municipalidad de Vte López","Instituto Municipal de Rehabilitacion
 Dr.  A. Marini. Municipalidad de Vte López","Instituto Municipal de Rehabilitacion Dr.  A. Marini. 
Av. Maipu 3075. Olivos",Jueves de 10 a 13 hs,4513-9868/69
Buenos Aires ,Junta Evaluadora Campana,Campana,"Hospital Municipal San José de Campana - 
Alberti 576. Campana",Miercoles de 08 a 15 hs,03489-439420
Buenos Aires ,Junta Evaluadora Zarate,Zarate,"Centro Integrador Comunitario (CIC) -
 Pellegrini y Agustin Alvarez","Lunes 15 a 18 hs, Martes y Viernes 16 a 19 hs",03487-446690/ 03487-15535679
Buenos Aires ,Junta Evaluadora Avellaneda,Avellaneda,"Desarrollo Social Area de Discapacidad -
 Av. Pavon 381  1º Piso",Lunes a  Viernes 9 a 14 hs.,Tel. 5227-7762
Buenos Aires ,Junta Evaluadora Berazategui,Berazategui,Unidad sanitaria Nº 1 Dr Sábatto Av. 14 e/ 131 y 132,"Lunes,Martes, Jueves  y Viernes 10 a 13 hs.",4256-1216/1199/ 4226-5775
Buenos Aires ,Junta Evaluadora Quilmes,Quilmes,A. Argentina 1275 entre Derqui y Ceballos,"Lunes, martes y jueves  de 13 a 15:30 Hs",Tel:  4278-9791
Buenos Aires ,Junta Evaluadora Esteban Echeverria Junta1,Esteban Echeverria Junta1,Santa Catalina 231- Luis Guillón,Lunes a jueves de 10 a 13 hs,4281-3818
Buenos Aires ,Junta Evaluadora Lomas de Zamora,Lomas de Zamora,INDIAM Entre Ríos 1060,Lunes de 8 a 14 y viernes de 9 a 15 hs,Tel: 4283-2549 / 2057-4084
Buenos Aires ,Junta Evaluadora Ezeiza,Ezeiza,"Sede: Secretaria de Desarrollo Social. 
Municipalidad de Ezeiza, Sarmiento 225, Tristán Suárez",Mart y Mier 10 a 14 Juev 12 a 14 hs,4234-3465/42342425
Buenos Aires ,Junta Evaluadora Lanus,Lanus,"Hospital Melo - Av Villa de Luján 3050 y Albarracin - 
Remedios de Escalada, Lanus Este","Lunes, martes y miércoles de 8 a 12",4246-0868/6491
Buenos Aires ,Junta Evaluadora Almirante Brown,Almirante Brown,"Hospital Dr. José Maria Jorge (Burzaco) 
Pte Peron 870  (Ex Gorriti) (enfrente Hosp Menendez)",Lunes 9 hrs Miercoles 15 hrs,Tel. 4294 8308/8100/1384
Buenos Aires ,Junta Evaluadora Almirante Brown - 2da instancia,Almirante Brown - 2da instancia,"Hospital Dr. José Maria Jorge - 
Pte Peron (Ex Gorriti) 300",,42948100/42941384
Buenos Aires ,Junta Evaluadora Florencio Varela,Florencio Varela,"Centro de Salud Barrio Santa Rosa
Bucarest entre Alemania y Cafferata","Juntas (Lunes 8 a 14 hs - Martes de 10 a 14 hs)
Turnos (Lunes a Viernes de 8 a 14 hs)",Telefono 4237-1308 /  5364-1707
Buenos Aires ,"Junta Evaluadora Hospital Mi Pueblo - 
Florencio Varela","Hospital Mi Pueblo - 
Florencio Varela",Hospital Mi Pueblo - Progreso 240,lunes y miercoles de 8 a 11 hs,tel. 4255-7809
Buenos Aires ,Junta Evaluadora Gral Rodríguez,Gral Rodríguez,"Municipalidad de Gral Rodriguez - 
calle 2 de Abril e Intendente Garrahan",,0237 4841547 int 18
Buenos Aires ,Junta Evaluadora HIGA Vte. Lopez y Planes- Gral Rodriguez.2da Instancia,HIGA Vte. Lopez y Planes- Gral Rodriguez.2da Instancia,HIGA Vte. Lopez y Planes- Gral Rodriguez.,Miercoles de 8 a 14 Hs.,0237 4841782 / 0237 4840023 int160
Buenos Aires ,Junta Evaluadora Luján,Luján,"Dirección de Discapacidad de Luján - 
Colón Nº 1177, Luján.",Martes de una semana Jueves de otra,02323 429 498
Buenos Aires ,Junta Evaluadora Marcos Paz,Marcos Paz,"CIC - Juan Domingo Perón y Eva Perón - 
Barrio Nuestra Señora de la Paz",Martes y jueves de 9:00 hs a 13:00 hs,Tel: 0220 4776641
Buenos Aires ,Junta Evaluadora Gral Las Heras,Gral Las Heras,Las Heras 835- Servicio Local,Viernes de 14:00 a 19:00 hs,0220 4761322
Buenos Aires ,Junta Evaluadora Moreno,Moreno,"Nemesio Álvarez Nº 371 
entre Independecia y Moreno","Lunes 12 a 17hs, Martes 8 a 14 hs, 
Miercoles 8 a 17 hs, Viernes 8 a 14 hs",0237 4600059 / 4626701 / 0090
Buenos Aires ,Junta Evaluadora Tres de Febrero,Tres de Febrero,Urquiza 4473,Lunes a Viernes de 8 a 12 hs.,Tel. 4587-5618
Buenos Aires ,Junta Evaluadora Hurlinghan,Hurlinghan,"Junta: Solis 1650
Turnos: Hospital San Bernardino de Siena 
- Argerich 1650",,"Junta: 4452-6918
4452-1694 / 4662-0088"
Buenos Aires ,Junta Evaluadora Morón - sede 1,Morón - sede 1,"Centro de Atención Primaria Dr Springolo
Galán 655, E/Pedernera y Victorica (El Palomar)",Jueves 12 a 15 hs.,4751-3791/8961
Buenos Aires ,Junta Evaluadora Morón - sede 2,Morón - sede 2,"Dir de Discapacidad de Morón - Calle Buen Viaje 968, Morón.",Lunes a Viernes 8:30 a 14 hs.,4489-7777 / 7774 int 5176
Buenos Aires ,Junta Evaluadora Ituzaingó,Ituzaingó,Municipalidad de Ituzaingo - Soler 255,,4623-5094
Buenos Aires ,Junta Evaluadora Merlo,Merlo,"Comisión Municipal del Discapacitado -
Avellaneda 453","At. Al público: Lunes a viernes de 8 a 14 hs.
Juntas:  miercoles de 8 a 13,
 martes, jueves y viernes de 13 a 18",0220 4821865
Buenos Aires ,Junta Evaluadora Open Door,Open Door,Av. Dr. Cabred y Filiberto S/N  - Luján (6708),Martes de 08 a 13 hs.,"02323-496515 / 496699 /
 496405 / 496249 / 496559"
Buenos Aires ,Junta Evaluadora Ayacucho,Ayacucho,Centro Civico Municipal - 9 de Julio 755,Martes 17 a 21 hs. y Martes 13 a 17 hs.,Teléfono: (2296) 45-2099
Buenos Aires ,Junta Evaluadora Gral Lavalle,Gral Lavalle,"Hosp Municip Sagrado Corazón de Jesús,
calle Arturo de la Serna 1064",Jueves de 10 a 12 hs,"02252 491207 intendencia 
02252491037/491213 - Ana"
Buenos Aires ,Junta Evaluadora Maipú,Maipú,"Sec de Salud y Acción Social, Calle Rivadavia 455",Lúnes a Viernes de 08 a 12 hs,02268 422016/421153/421047/421371
Buenos Aires ,Junta Evaluadora Mar del Plata,Mar del Plata,Pescadores 456,"lunes, jueves y viernes de 8:30 a 12:30",2234803053 int 112
Buenos Aires ,"Junta Evaluadora Region VIII Mar del Plata
  - 2da Instancia","Region VIII Mar del Plata
  - 2da Instancia",Hospital Descentraliazado Region VIII,Martes y Miercoles de 08 a 13 hs,
Buenos Aires ,Junta Evaluadora Pinamar,Pinamar,Hosp Comunitario de Pinamar - Av. Shaw 255,miércoles de 13 a 16 hs,02254491670 int 675/708
Buenos Aires ,Junta Evaluadora Villa Gesell,Villa Gesell,"Hospital Municipal Villa Gesell ""Dr. Aruro Illia"" -
 Paseo 124 y Av. 8",Miercoles de 10 a 13 hs.,02255-460777 / 453458
Buenos Aires ,Junta Evaluadora Balcarce,Balcarce,Av. Del Valle esq. calle 12,"Lunes y viernes de 13,30 a 16 hs.",02266 421898
Buenos Aires ,Junta Evaluadora Municipalidad de La Costa,Municipalidad de La Costa,"CIC Av 26 Nro. 1550 y calle 29, Las Toninas.",Martes de 13 a 17  hs,02246-432279 / 02246-433091/433015
Buenos Aires ,Junta Evaluadora Loberia,Loberia,Hospital Municipal - Av. San Martin 1157,Miercoles de 17 a 20 Hs.,02262-470100 / 02261-442105
Buenos Aires ,Junta Evaluadora Gral Madariaga,Gral Madariaga,Hospital Municipal - Av. Buenos Aires y Echeverria,Martes de 9 a 11,02267 421017 Sec. De Salud
Buenos Aires ,Junta Evaluadora Mar Chiquita,Mar Chiquita,Hospital Cnel Vidal Belgrano 250,Miercoles 9 a 12 y jueves 14 a 18 c/ 15 dias,(02265) 432340 / 432332
Buenos Aires ,Junta Evaluadora General Guido,General Guido,"Sala de primeros Auxilios Gral. Guido -
 San Martín 294.",,02268-491028 / 491134 fax
Buenos Aires ,Junta Evaluadora General Alvarado- Miramar,General Alvarado- Miramar,Hospital Municipal Diagonal Dupuy 1550,"Turnos Lu. A Vi. 8 a 12 Hs. 
Junta: Martes de 8:30 a 11:30 Hs.",02291-431232
Buenos Aires ,Junta Evaluadora Tandil,Tandil,Municipalidad de Tandil - Alem 1406,"Turnos lu. A Vi. 10 a 13 hs
Junta: Lunes, Miércoles y viernes de 16 a 20 hrs",0249-4422010/422011 int. 225
Buenos Aires ,Junta Evaluadora San Cayetano,San Cayetano,Calle 9 de Julio 1170,Lunes y Jueves 8:30 a 11 hs,02983 - 470106
Buenos Aires ,Junta Evaluadora Necochea - 1,Necochea - 1,"Hospital Irurzun Calle 541 nro, 3550",miercoles de 7:30 a 16 Hs.,02262-450052/451454 int 18
Buenos Aires ,Junta Evaluadora Necochea - 2da Instancia,Necochea - 2da Instancia,"Hspital Neuropsiquiatrico Dr. Taraborelli
Calle 49-1868",,02262-428538/425164
Buenos Aires ,Junta Evaluadora Benito Juárez,Benito Juárez,"Secretaría de Salud, Zibecchi nº 74.",Jueves y Viernes de 08 hs a 14 hs,Tel: 02292-452002
Buenos Aires ,Junta Evaluadora Gral Lamadrid,Gral Lamadrid,Hospital Municipal Calle Dr Etchegaray s/n,miércoles de 08 a 10 hs,02286 420036/420404
Buenos Aires ,Junta Evaluadora Las Flores,Las Flores,"Junta: Belgrano y Sordeaux. 
Turno: Hirigoyen 390",2º Martes de cada mes realizan Junta de 9 a 14 hrs,Tel. 02244-444993
Buenos Aires ,Junta Evaluadora Olavarría,Olavarría,"Hospital Municipal  Dr. Héctor Cura  - 
Rivadavia 4057 esq sarmiento.","Lunes, martes y jueves de 14 a 17:30",02284 440800/4 int 2115
Buenos Aires ,Junta Evaluadora Tapalqué,Tapalqué,Hospital Municipal 9 de Julio 961,Viernes de 12:30 a 17:30,02283 420333/456
Buenos Aires ,Junta Evaluadora Azul,Azul,"Hospital Municipal Dr.  Ángel Pintos 
Amado Diab 270 (ex. Sta fe)",Jueves de 8 a 12 hs.,02281 422746/435200 int. 123
Buenos Aires ,Junta Evaluadora Bolivar,Bolivar,"Dirección de discapacidad, Av. Gral Paz 900, Bolivar
Turnos: Arenales 58",Miercoles de 14 a 17 hs.,Tel Munic. 02314-427203/04
Buenos Aires ,Junta Evaluadora Rauch,Rauch,"Hosp Municipal Gral Díaz Vélez - 
Alberti 450",2º jueves de c / mes a las 13 hs,02297-442620/442240
Buenos Aires ,Junta Evaluadora Gral Alvear,Gral Alvear,"Calle B Althabe 1041, Gral Alvear",Martes 15 a 18 hs,02344-481154
Buenos Aires ,Junta Evaluadora Laprida,Laprida,Hospital Pedro Sancholuz - Sancholuz y Lavalle,1º y 3º jueves de c / mes a las 15 hs,02285 420182/420017/420340
Buenos Aires ,Junta Evaluadora Hosp. Zonal Materno Infantil Argentina Diego de Azul (Segunda instancia),Hosp. Zonal Materno Infantil Argentina Diego de Azul (Segunda instancia),A. Prat Nro 521,Lunes 9 a 11 hs - Miércoles de 11 a 13 hrs.,02281- 424150
Buenos Aires ,Junta Evaluadora Mercedes,Mercedes,Dirección de salud: Calle 25 e/28 y 30 PB,Lun y Jueves de 12.30 a 17hs.,02324 434999 int 19
Buenos Aires ,Junta Evaluadora Suipacha,Suipacha,Calle Dr Cusa 251,1º lúnes de c/mes de 12 a 15 hs,02324-480087
Buenos Aires ,Junta Evaluadora 25 de Mayo,25 de Mayo,"Hosp Saturnino Unzué, calle 37 y 1",último martes de c/ mes de 9 a 13 hs,02345 - 464849/462267
Buenos Aires ,Junta Evaluadora Alberti,Alberti,Hosp Nuestra Sra de la Merced Arias y Fox,1º miércoles de c / mes de 14 a 16 hrs,02346- 470454 int 28
Buenos Aires ,Junta Evaluadora Bragado,Bragado,"Sec de Desarrollo Social, Alem 1576",Martes  y Mierc de 14.30 a 18 hs.,02342 421875/421409/431497
Buenos Aires ,Junta Evaluadora Lobos,Lobos,"Municipalidad de Lobos, Salgado Nro 40",1º y 3 ºLunes de cada mes de 14 a 18 hs.,02227-431450/6
Buenos Aires ,Junta Evaluadora Navarro,Navarro,"Hospital San A de Padua Navarro
 Calle 16 Nro 750 e/115 y 117",,02272-430005/668/782
Buenos Aires ,Junta Evaluadora Roque Perez,Roque Perez,"Hospital Municipal Dr. R Carrillo
 Rawson y Pte Peron",Viernes de 9 a 12 hs,02227-492617
Buenos Aires ,Junta Evaluadora Saladillo,Saladillo,CE.DI.FI.SA Rivadavia 3062,1 vez al mes,02344453030 int 25
Buenos Aires ,Junta Evaluadora Chivilcoy,Chivilcoy,"Hospital Municipal de Chivilcoy
 Hijas de San Jose Nº 31","miercoles de 11.30 a 13.30 y
 jueves de 14.00 a 16.00 Hs",02346 423 210 int 115
Buenos Aires ,Junta Evaluadora Magdalena,Magdalena,"Hosp Municip S María Magdalena
Las Heras 348",Martes de 10 a 12 hs,(0221) 453313 / 453443 / 453308
Buenos Aires ,Junta Evaluadora Ensenada - 1era instancia Res 99/2011,Ensenada - 1era instancia Res 99/2011,Alem esq Brasil Desarrollo Social de la Municipalidad de Ensenada,Jueves 9 a 13 hs,Tel. 0221-4600931
Buenos Aires ,Junta Evaluadora Hosp El Dique - (Ensenada) - 1º instancia Res 99/2011,Hosp El Dique - (Ensenada) - 1º instancia Res 99/2011,"Calle 129 y 51, Ensenada",1 jueves de cada mes de 8:30 a 12:30 hs,Tel: 0221 - 4210093
Buenos Aires ,Junta Evaluadora  Ranchos - Gral Paz,Ranchos - Gral Paz,Hosp Campomar - Av Campomar 3413,,Tel: 02241-475250 / 475245
Buenos Aires ,Junta Evaluadora Punta Indio,Punta Indio,Hosp Hernández - Calle 30 - Verónica,1º sabado de cada mes,Tel: 02221-480677/678
