Nombre;Origen del financiamiento;Provincia;Localidad;Cantidad total de camas
RESIDENCIA MARIA REGINA DE MUJERES (D);Privado;Buenos Aires;Almirante Brown (Burzaco);7
RESIDENCIA MARIA REGINA DE VARONES (D);Privado;Buenos Aires;Almirante Brown (Burzaco);10
SANATORIO MODELO ADROGUE/ SANATORIO PRIVADO ALMIRANTE BROWN;Privado;Buenos Aires;Almirante Brown (Burzaco);43
SANATORIO MODELO BURZACO;Privado;Buenos Aires;Almirante Brown (Burzaco);98
SANTA ROSA (G);Privado;Buenos Aires;Almirante Brown (Burzaco);12
CLINICA MODELO CLAYPOLE SA MONTE VERDE;Privado;Buenos Aires;Almirante Brown (Claypole);46
CLINICA PRIVADA CLAYPOLE;Privado;Buenos Aires;Almirante Brown (Claypole);32
GERIATRICO SAN CARLOS;Privado;Buenos Aires;Almirante Brown (Claypole);0
HOGAR PARA DISCAPACITADOS DEL PEQUEÑO COTTOLENGO DON ORIONE CLAYPOLE (D);Privado;Buenos Aires;Almirante Brown (Claypole);394
CLINICA PRIVADA GLEW;Privado;Buenos Aires;Almirante Brown (Glew);28
COMUNIDAD TERAPEUTICA GENESIS (A);Privado;Buenos Aires;Almirante Brown (Glew);33
COMUNIDAD TERAPEUTICA SANTA CLARA DE ASIS (A);Privado;Buenos Aires;Almirante Brown (Glew);0
RESIDENCIA GERIATRICA LA BELLA VISTA;Privado;Buenos Aires;Almirante Brown (Glew);58
HOGAR GERIATRICO DE BELEN;Privado;Buenos Aires;Almirante Brown (José Mármol);0
HOGAR GERIATRICO NUESTRA SEÑORA DE LA PAZ;Privado;Buenos Aires;Almirante Brown (José Mármol);20
HOGAR GERIATRICO SAN GUILLERMO;Privado;Buenos Aires;Almirante Brown (José Mármol);23
CLINICA PRIVADA LONGCHAMPS;Privado;Buenos Aires;Almirante Brown (Longchamps);23
HOGAR GERIATRICO LA RESIDENCIA;Privado;Buenos Aires;Almirante Brown (Longchamps);0
HOGAR GERIATRICO LA RESIDENCIA (LONGCHAMPS - BARRIO LOS ALAMOS);Privado;Buenos Aires;Almirante Brown (Longchamps);0
HOSPITAL E. BURGWARD;Privado;Buenos Aires;Almirante Brown (Longchamps);30
OTROS CAMINOS SON POSIBLES PARA LA REHABILITACION DE LAS ADICCIONES (A);Privado;Buenos Aires;Almirante Brown (Longchamps);14
SANTA CLARA DE ASIS;Privado;Buenos Aires;Almirante Brown (Longchamps);40
CLINICA PRIVADA COLON SRL;Privado;Buenos Aires;Almirante Brown (Rafael Calzada);64
CLINICA PRIVADA RIVADAVIA;Privado;Buenos Aires;Almirante Brown (Rafael Calzada);10
HOGAR CASA DE CAMPO;Privado;Buenos Aires;Almirante Brown (Rafael Calzada);0
HOGAR GERIATRICO MI HOGAR;Privado;Buenos Aires;Almirante Brown (Rafael Calzada);20
HOSPITAL ZONAL GENERAL DE AGUDOS DR. ARTURO OÑATIVIA;Público;Buenos Aires;Almirante Brown (Rafael Calzada);209
ONG RED DE APOYO FAMILIAR COMUNIDAD TERAPEUTICA EL TAMBO;Privado;Buenos Aires;Almirante Brown (Rafael Calzada);24
GERIATRICO VERTIZ;Privado;Buenos Aires;Almirante Brown (San José);0
CLINICA PRIVADA ORELLANA;Privado;Buenos Aires;América;11
CLINICA PRIVADA SANATORIO RIVADAVIA;Privado;Buenos Aires;América;18
HOGAR GERIATRICO;Público;Buenos Aires;América;36
RESIDENCIA DE ABUELOS;Público;Buenos Aires;América;45
SANATORIO RIVADAVIA;Privado;Buenos Aires;América;46
HOSPITAL PRIVADO PEDRO LACAU;Privado;Buenos Aires;Arenaza;0
UNIDAD SANITARIA ARENAZA;Público;Buenos Aires;Arenaza;12
HOGAR DE ANCIANOS MUNICIPAL SOR MARIA ROSELLO;Público;Buenos Aires;Arrecifes;58
HOSPITAL MUNICIPAL SANTA FRANCISCA ROMANA;Público;Buenos Aires;Arrecifes;109
SUEÑOS WELLNESS;Privado;Buenos Aires;Arrecifes;12
HOGAR DE ANCIANOS ARROYO CORTO;Público;Buenos Aires;Arroyo Corto;12
SALA DE PRIMEROS AUXILIOS ARROYO CORTO;Privado;Buenos Aires;Arroyo Corto;9
HOGAR DE ANCIANOS IRENE DALL OCCHIO;Privado;Buenos Aires;Ascensión;20
CEGAVE;Privado;Buenos Aires;Avellaneda (Avellaneda);2
CENTRO DE ESTUDIOS PSIQUIATRICOS;Privado;Buenos Aires;Avellaneda (Avellaneda);81
CENTRO DE REHABILITACION CON INTEGRACION SERES (D);Privado;Buenos Aires;Avellaneda (Avellaneda);31
CENTRO DE REHABILITACION CON INTERNACION SERES 2 (D);Privado;Buenos Aires;Avellaneda (Avellaneda);25
CIKA (CENTRO INTEGRAL DE REHABILITACION ARGENTINO);Privado;Buenos Aires;Avellaneda (Avellaneda);0
CLINICA AVELLANEDA MEDICAL CENTER;Privado;Buenos Aires;Avellaneda (Avellaneda);59
CLINICA DE PSICOPATOLOGIA SAN CAYETANO (M);Privado;Buenos Aires;Avellaneda (Avellaneda);17
CLINICA PRIVADA 24 DE SEPTIEMBRE;Privado;Buenos Aires;Avellaneda (Avellaneda);28
COMUNIDAD TERAPEUTICA ASOCIACION REVIVIR;Privado;Buenos Aires;Avellaneda (Avellaneda);0
GERIATRICO LOS OLIVOS;Privado;Buenos Aires;Avellaneda (Avellaneda);0
HOGAR GERIATRICO DEL SAGRADO;Privado;Buenos Aires;Avellaneda (Avellaneda);45
HOGAR GERIATRICO TUNQUELEN;Privado;Buenos Aires;Avellaneda (Avellaneda);28
HOSPITAL SUBZONAL ESPECIALIZADO MATERNO INFANTIL ANA GOITIA;Público;Buenos Aires;Avellaneda (Avellaneda);82
RESIDENCIA GERIATRICA;Privado;Buenos Aires;Avellaneda (Avellaneda);23
RESIDENCIA GERIATRICA DAQUILA;Privado;Buenos Aires;Avellaneda (Avellaneda);0
RESIDENCIA GERIATRICA DAQUILA SA;Privado;Buenos Aires;Avellaneda (Avellaneda);20
RESIDENCIA GERIATRICA ROSICLER;Privado;Buenos Aires;Avellaneda (Avellaneda);33
SANATORIO REGIONAL AVELLANEDA;Privado;Buenos Aires;Avellaneda (Avellaneda);0
CLINICA PRIVADA EMMANUELLE;Privado;Buenos Aires;Avellaneda (Dock Sud);12
GERIATRICO SAN GREGORIO;Privado;Buenos Aires;Avellaneda (Piñeyro);41
HOGAR DE ANCIANOS LA CASA GRANDE;Privado;Buenos Aires;Avellaneda (Piñeyro);48
HOGAR DE ANCIANOS SANIDAD FABIANO SA;Privado;Buenos Aires;Avellaneda (Piñeyro);48
HOGAR GERIATRICO SAN BARTOLOME;Privado;Buenos Aires;Avellaneda (Piñeyro);0
CENTRO DE REHABILITACION MADRE TERESA;Privado;Buenos Aires;Avellaneda (Sarandí);43
CLINICA MATERNO INFANTIL NUESTRA SEÑORA DE LA DULCE ESPERA;Privado;Buenos Aires;Avellaneda (Sarandí);47
GERIATRICO LO SUBLIME;Privado;Buenos Aires;Avellaneda (Sarandí);0
HOGAR GERIATRICO DASIMAT SRL;Privado;Buenos Aires;Avellaneda (Sarandí);23
HOGAR GERIATRICO MIS NONOS;Privado;Buenos Aires;Avellaneda (Sarandí);0
HOSPITAL INTERZONAL GENERAL AGUDOS PRESIDENTE PERON;Público;Buenos Aires;Avellaneda (Sarandí);373
HOSPITAL PRIVADO BOMBEROS VOLUNTARIOS SARANDI;Privado;Buenos Aires;Avellaneda (Sarandí);38
RESIDENCIA GERIATRICA SAN JULIAN;Privado;Buenos Aires;Avellaneda (Sarandí);0
CLINICA COMUNIDAD;Privado;Buenos Aires;Avellaneda (Villa Domínico);0
CLINICA Y SANATORIO WILDE;Privado;Buenos Aires;Avellaneda (Villa Domínico);32
RESIDENCIA PARA MAYORES DON AUGUSTO;Privado;Buenos Aires;Avellaneda (Villa Domínico);32
CLINICA PRIVADA DEL DIAGNOSTICO LAS FLORES;Privado;Buenos Aires;Avellaneda (Wilde);32
GERIATRICO VIRGEN DE COPACABANA II;Privado;Buenos Aires;Avellaneda (Wilde);14
HOGAR DEL SOL;Privado;Buenos Aires;Avellaneda (Wilde);18
HOGAR GERIATRICO COPACABANA;Privado;Buenos Aires;Avellaneda (Wilde);30
HOSPITAL INTERZONAL GENERAL AGUDOS DR. PEDRO FIORITO;Público;Buenos Aires;Avellaneda (Wilde);285
HOSPITAL SUBZONAL GENERAL AGUDOS DE WILDE;Público;Buenos Aires;Avellaneda (Wilde);77
RESIDENCIA GERIATRICA NUESTROS MAYORES;Privado;Buenos Aires;Avellaneda (Wilde);52
SANATORIO ITOIZ;Privado;Buenos Aires;Avellaneda (Wilde);58
SANATORIO MITRE;Privado;Buenos Aires;Avellaneda (Wilde);55
HOGAR DE ANCIANOS SAN FRANCISCO JAVIER;Privado;Buenos Aires;Ayacucho;0
HOGAR GERIATRICO SAN ANTONIO;Privado;Buenos Aires;Ayacucho;18
HOGAR PARA DISCAPACITADOS MI CASITA (D);Privado;Buenos Aires;Ayacucho;13
HOSPITAL MUNICIPAL DR. PEDRO SOLANET;Público;Buenos Aires;Ayacucho;67
UNIDAD SANITARIA Y HOGAR GERIATRICO EL CENTENARIO;Público;Buenos Aires;Azopardo;18
CLINICA PRIVADA PSIQUIATRICA AZUL;Privado;Buenos Aires;Azul;36
CLINICA SAN MARTIN SA DE AZUL;Privado;Buenos Aires;Azul;23
HOGAR DE ANCIANOS ERNESTINA DE MALERE;Privado;Buenos Aires;Azul;67
HOGAR DE ANCIANOS RESIDENCIA AZUL;Privado;Buenos Aires;Azul;40
HOGAR DE ANCIANOS SAN MARTIN DE PORRES;Privado;Buenos Aires;Azul;49
HOGAR GERIATRICO ABUELOS FELICES;Privado;Buenos Aires;Azul;10
HOGAR GERIATRICO VICUÑA II;Privado;Buenos Aires;Azul;40
HOSPITAL MUNICIPAL DR. ANGEL PINTOS;Público;Buenos Aires;Azul;94
HOSPITAL ZONAL ESPECIALIZADO EN PEDIATRIA ARGENTINA DIEGO;Público;Buenos Aires;Azul;61
INSTITUTO INTERDISCIPLINARIO DE SALUD MENTAL SA GERIATRICO AÑOS DORADOS;Privado;Buenos Aires;Azul;0
INSTITUTO OFTALMOLOGICO AZUL;Privado;Buenos Aires;Azul;4
SANATORIO AZUL;Privado;Buenos Aires;Azul;37
CLINICA DEL SOL DE BAHIA BLANCA;Privado;Buenos Aires;Bahía Blanca;72
CLINICA PRIVADA FUMEBA HOSPITAL PRIVADO DEL SUR;Privado;Buenos Aires;Bahía Blanca;79
CLINICA PRIVADA MODELO DE BAHIA BLANCA;Privado;Buenos Aires;Bahía Blanca;19
HOSPITAL ASOCIACION ITALIANO REGIONAL DEL SUR;Privado;Buenos Aires;Bahía Blanca;92
HOSPITAL DR. FELIPE GLASMAN DE LA ASOCIACION MEDICA DE BAHIA BLANCA;Privado;Buenos Aires;Bahía Blanca;75
HOSPITAL INTERZONAL GENERAL DE AGUDOS DR. PENNA;Público;Buenos Aires;Bahía Blanca;303
HOSPITAL MILITAR BAHIA BLANCA;Público;Buenos Aires;Bahía Blanca;37
HOSPITAL MUNICIPAL DE AGUDOS DR. LEONIDAS LUCERO;Público;Buenos Aires;Bahía Blanca;79
HOSPITAL REGIONAL ESPAÑOL;Privado;Buenos Aires;Bahía Blanca;110
SANATORIO OSECAC SANATORIO CENTRAL DE SALUD;Privado;Buenos Aires;Bahía Blanca;80
CENTRO SALUD DE EMPLEADOS DE COMERCIO DR. RAUL MATERA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);76
CLINICA DE OJOS DEL SUD;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);2
CLINICA DEL NIÑO;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);0
CLINICA PRIVADA BAHIENSE SA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);94
CLINICA PRIVADA OFTALMOLOGICA BEREILH;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);0
CLINICA SANATORIO NEUROPSIQUIATRICO BELGRANO;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);0
GERIATRICO ABUELA EMMA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);30
GERIATRICO HOGAR FELIZ;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);79
GERIATRICO IL GIARDINO SRL;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);42
GERIATRICO LA ABUELA DOMINGA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);10
GERIATRICO MISIONES;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);20
GERIATRICO SAN NICOLAS;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);22
GERIATRICO SAN PANTALEON;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);28
GERIATRICO TRABOLARES;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);0
HOGAR GERIATRICO DEL CENTRO;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);123
HOGAR GERIATRICO E.B;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);12
HOGAR GERIATRICO EL MANANTIAL;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);20
HOGAR GERIATRICO EL SAUCE;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);15
HOGAR GERIATRICO LA RESIDENCIA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);18
HOGAR GERIATRICO LAVALLE;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);2
HOGAR GERIATRICO MARIA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);29
HOGAR GERIATRICO MARIA CATALINA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);0
HOGAR GERIATRICO MARIA EMILIA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);21
HOGAR GERIATRICO SOLAR DEL ROSARIO;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);35
HOGAR PARA DISCAPACITADOS MAYORES INCUDI (D);Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);20
HOGAR PARA DISCAPACITADOS SANTA RITA (D);Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);15
HOGAR SAN PATRICIO;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);37
HOGAR SUSTITUTO DE LA TERCERA EDAD MARIA TERESA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);4
INSTITUTO DE CIRUGIAS ESPECIALES DEL DR. SOSA JUAN CARLOS;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);6
INSTITUTO DIAGNOSTICO PATOLOGIA FEMENINA S.A;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);0
INSTITUTO GERIATRICO CEFERINO;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);30
NUESTRA SEÑORA DE POMPEYA RESIDENCIA TERCERA EDAD;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);30
NUEVO INSTITUTO GERIATRICO BAHIENSE;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);28
PEQUEÑO COTTOLENGO MONSEÑOR JOSE NASCIMBENI ( D);Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);91
POLICLINICA PRIVADA DE CIRCULO DE OFICIALES DE MAR;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);0
POLICLINICA PRIVADA INSTITUTO DE PATOLOGIA FEMENINA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);4
RESIDENCIA  PARA LA TERCERA EDAD LA QUERENCIA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);30
RESIDENCIA BAHIA BLANCA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);12
RESIDENCIA GERIATRICA ALDEA  ROMANA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);23
RESIDENCIA GERIATRICA DEL SUR;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);31
RESIDENCIA GERIATRICA GUADALUPE;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);17
RESIDENCIA GERIATRICA LAURA VICUÑA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);20
RESIDENCIA PARA LA TERCERA EDAD FR;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);15
RESIDENCIA PARA LA TERCERA EDAD LAGUNA DORADA;Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);12
SANTA ANITA (HOGAR GERIATRICO);Privado;Buenos Aires;Bahía Blanca (Bahía Blanca);11
CLINICA SAN MARCO;Privado;Buenos Aires;Bahía Blanca (Ingeniero White);10
CLINICA PRIVADA DE SALUD MENTAL SANATORIO ARGENTINO;Privado;Buenos Aires;Bahía Blanca (Villa Bordeau);0
CENTRO GERIATRICO DR. ERNESTO L. PINTO;Público;Buenos Aires;Balcarce;35
CENTRO GERIATRICO HOSTAL DE LOS ABUELOS;Público;Buenos Aires;Balcarce;26
COMUNIDAD POSADA DEL INTI (A);Privado;Buenos Aires;Balcarce;19
COMUNIDAD TERAPEUTICA POSADA DEL INTI (A);Privado;Buenos Aires;Balcarce;19
GERIATRICO HOSTAL DE LOS ABUELOS;Privado;Buenos Aires;Balcarce;38
HOGAR DE NUESTRO SUEÑO;Privado;Buenos Aires;Balcarce;10
HOGAR DE NUESTRO SUEÑO (D);Privado;Buenos Aires;Balcarce;10
HOGAR GERIATRICO MARIA AUXILIADORA;Privado;Buenos Aires;Balcarce;9
HOSPITAL SUBZONAL MUNICIPAL DR. FELIPE A. FOSATTI;Público;Buenos Aires;Balcarce;91
RESIDENCIA GERIATRICA CLINICA PRIVADA DEL LAGO;Privado;Buenos Aires;Balneario Laguna de Gómez;49
CLINICA PRIVADA DE ORTOPEDIA Y TRAUMATOLOGIA COTBA;Privado;Buenos Aires;Baradero;6
CLINICA PRIVADA MODERNA;Privado;Buenos Aires;Baradero;30
CLINICA PRIVADA MODERNA SA;Privado;Buenos Aires;Baradero;33
CLINICA PRIVADA NEUROPSIQUIATRICA PLAZA CONSTITUCION SRL;Privado;Buenos Aires;Baradero;30
CLINICA SOERM SINDICAL;Privado;Buenos Aires;Baradero;44
GERIATRICO III MILENIUM;Privado;Buenos Aires;Baradero;44
HOGAR CEFERINO NAMUNCURA;Privado;Buenos Aires;Baradero;0
HOGAR DE ANCIANOS SAN JOSE DE BARADERO;Público;Buenos Aires;Baradero;52
HOGAR Y CENTRO DE DIA APAND (D);Privado;Buenos Aires;Baradero;17
HOSPITAL SUBZONAL GENERAL DR. LINO PIÑEIRO;Público;Buenos Aires;Baradero;51
RESIDENCIA GERIATRICA ITALIANA CASA DE REPOSO SAN FRANCISCO DE PAOLA;Privado;Buenos Aires;Baradero;125
RESIDENCIA GERIATRICA SAN GABRIEL;Privado;Buenos Aires;Baradero;49
SANATORIO OBRA SOCIAL DE OBREROS Y EMPLADOS DE REFINERIAS DE MAIZ;Privado;Buenos Aires;Baradero;40
SANATORIO OSPREM;Privado;Buenos Aires;Baradero;30
CLINICA PRIVADA SAN JAVIER;Privado;Buenos Aires;Batán;12
RESIDENCIA GERIATRICA BATAN;Privado;Buenos Aires;Batán;38
HOGAR DE ANCIANOS MARIA LUJAN;Privado;Buenos Aires;Beccar;12
NUEVA CLINICA PRIVADA BECCAR;Privado;Buenos Aires;Beccar;35
RESIDENCIA LA HORQUETA (D);Privado;Buenos Aires;Beccar;58
RESIDENCIA PARA ANCIANOS HOGAR FELIZ;Privado;Buenos Aires;Beccar;40
HOGAR DE ANCIANOS CAYETANO ZIBECCHI;Público;Buenos Aires;Benito Juárez (Est. Juárez);74
HOGAR DEL CARMEN;Privado;Buenos Aires;Benito Juárez (Est. Juárez);0
HOGAR DEL CARMEN (G);Privado;Buenos Aires;Benito Juárez (Est. Juárez);0
HOSPITAL MUNICIPAL DR. ALFREDO SAINTOUT;Público;Buenos Aires;Benito Juárez (Est. Juárez);74
CENTRO DE DIA;Público;Buenos Aires;Berazategui (Berazategui);9
CLINICA PRIVADA DE PSIQUIATRIA Y PSICOLOGIA MEDICA SAN MARTIN (M);Privado;Buenos Aires;Berazategui (Berazategui);54
COMUNIDAD LA ALAHAMBRITA (A);Privado;Buenos Aires;Berazategui (Berazategui);11
GERIATRICO LA CASONA;Privado;Buenos Aires;Berazategui (Berazategui);20
HOGAR DE ANCIANOS LA ESPERANZA;Privado;Buenos Aires;Berazategui (Berazategui);8
HOGAR GERIATRICO JUBILEO 2000;Privado;Buenos Aires;Berazategui (Berazategui);39
HOGAR GERIATRICO PORTAL DEL ATARDECER;Privado;Buenos Aires;Berazategui (Berazategui);20
HOSPITAL ZONAL GENERAL AGUDOS DESCENTRALIZADO EVITA PUEBLO;Público;Buenos Aires;Berazategui (Berazategui);265
INSTITUTO DE OJOS SANTA LUCIA BERAZATEGUI;Privado;Buenos Aires;Berazategui (Berazategui);4
LAS FRESIAS (HOGAR GERIATRICO);Privado;Buenos Aires;Berazategui (Berazategui);12
NUEVO SANATORIO BERAZATEGUI;Privado;Buenos Aires;Berazategui (Berazategui);65
PROGRAMA SUR II;Privado;Buenos Aires;Berazategui (Berazategui);11
CABAÑA DEL SUR (G);Privado;Buenos Aires;Berazategui (Guillermo Enrique Hudson);15
COMUNIDAD TERAPEUTICA CREER ES CREAR;Privado;Buenos Aires;Berazategui (Guillermo Enrique Hudson);22
TRATAMIENTO DE ADICCIONES Y PATOLOGIAS ASOCIADAS (A);Privado;Buenos Aires;Berazategui (Guillermo Enrique Hudson);22
EL AMANECER (G);Privado;Buenos Aires;Berazategui (Plátanos);12
CLINICA PRIVADA RANELAGH;Privado;Buenos Aires;Berazategui (Ranelagh);28
GERIATRICO LA CASA DEL ABUELO;Privado;Buenos Aires;Berazategui (Ranelagh);50
GERIATRICO LA MAISON;Privado;Buenos Aires;Berazategui (Ranelagh);35
CLINICA PRIVADA NEUROPSIQUIATRICA SAN ANDRES (M);Privado;Buenos Aires;Berisso (Berisso);0
GERIATRICO ROSA MISTICA;Privado;Buenos Aires;Berisso (Berisso);8
